S1	S2	S3
7	9	5
1	6	3
2	0	0
3	6	5
7	1	4
0	0	0
19	10	14
86	88	51
12	7	4
52	37	32
3	2	3
59	54	44
53	34	30
60	68	55
64	63	55
291	215	191
784	772	580
634	630	540
160	139	93
579	550	393
3360	3122	2608
6	10	7
4	6	7
10	9	9
20	12	9
352	332	326
399	410	329
3	3	2
8	6	10
4	5	3
18	6	18
13	15	12
38	25	24
56	49	59
8	2	6
40	28	26
11	8	4
29	28	25
5	4	1
12	5	2
107	99	97
25	29	18
96	103	69
403	378	290
367	401	337
4	1	0
87	119	93
67	85	76
107	135	116
5	7	7
39	33	32
72	54	72
49	45	42
105	130	119
85	72	63
4	6	2
4	7	7
43	47	48
2	4	3
1	2	3
22	16	18
1	5	5
1	2	1
53	51	30
38	25	19
57	71	62
389	440	315
241	219	173
250	249	230
20	18	12
88	118	101
49	70	44
3	4	4
19	17	13
98	118	112
137	131	101
523	476	469
22	19	15
1803	1874	1768
10	10	14
41	43	43
17	12	17
51	45	34
68	83	80
28	35	31
594	573	484
15	30	21
38	46	33
15	7	4
30	27	20
118	128	103
106	91	86
4	3	2
3	4	4
5	2	4
7	13	14
155	184	102
214	157	124
13	11	9
10	14	5
42	36	32
32	35	24
18	12	12
691	752	679
373	396	369
56	65	50
5	5	4
200	176	175
170	194	169
416	437	411
21	20	24
1321	1180	960
50	58	49
215	179	159
7	10	12
7	2	2
5	6	3
5	4	6
104	119	100
349	331	283
2909	2537	2098
64	73	49
1023	973	879
107	115	75
21	11	12
19	18	11
4	4	9
22	12	7
21	17	17
15	19	12
27	24	16
3	4	8
9	7	12
26	24	19
163	171	160
44	51	41
9	8	6
16	15	19
46	35	23
8	9	4
20	17	15
114	83	101
158	139	116
59	50	36
191	177	151
13	4	5
24	23	19
3	2	2
3	2	3
0	3	1
462	402	355
1199	1139	981
72	68	59
14	11	9
5	2	4
17	17	10
125	138	99
229	225	178
1	0	4
94	88	79
402	335	290
126	113	84
14	8	7
7	2	5
130	112	98
136	153	102
6	5	3
8	12	12
53	43	44
110	112	93
127	142	117
17	16	19
118	118	79
1902	1853	1559
161	150	159
153	156	132
3	6	0
17	24	24
10	16	11
0	0	0
20	16	17
47	57	30
50	45	39
64	38	35
95	64	63
4	0	2
8	16	10
3	0	1
5	9	6
14	14	12
57	50	33
0	2	0
34	29	20
39	24	16
8	6	1
19	15	9
844	853	703
23	35	28
158	141	134
27	26	15
442	521	510
163	165	179
29	12	13
3	0	1
442	521	510
945	986	810
164	173	136
42	41	39
939	967	794
164	173	136
52	56	52
102	110	105
9	14	10
10	9	10
103	75	58
127	142	113
202	183	174
351	345	324
50	53	44
12	10	6
8	12	2
125	139	139
149	127	113
96	90	82
127	135	107
20	17	21
29	27	16
29	32	29
118	97	77
18	17	18
76	62	52
4	5	6
85	85	67
19	14	16
17	26	16
22	17	14
258	288	244
78	79	62
435	392	364
456	476	434
46	32	32
104	86	78
478	428	341
169	128	121
107	101	76
97	99	104
139	168	140
5	0	1
12	16	18
29	27	20
14	12	12
424	460	398
673	769	605
139	121	125
172	196	144
154	178	121
5	5	2
62	63	37
48	51	43
138	159	150
307	326	293
15	10	16
557	569	473
95	148	110
5	0	7
67	64	60
38	43	29
22	22	21
206	220	171
141	152	114
110	163	122
29	27	19
509	663	516
44	40	28
177	149	142
8	19	11
25	29	21
3683	3787	3374
63	57	50
173	166	164
256	227	196
310	317	270
46	40	37
141	135	129
829	707	599
59	42	36
10	5	6
43	39	41
206	190	153
9201	9498	7899
3170	3201	2763
72	60	58
42	46	29
17	11	7
42	56	44
7	5	7
0	1	1
30	21	21
6	10	9
560	486	445
18	24	17
63	55	53
9	4	4
755	768	733
80	107	99
160	163	155
386	379	285
55	51	68
199	227	211
236	204	171
232	225	191
47	56	48
545	534	511
366	387	323
286	284	220
2	2	2
7	6	11
203	169	147
125	117	112
0	4	0
1214	1172	951
266	244	197
27	21	27
123	124	103
43	48	35
11	3	8
2	4	2
288	297	218
56	31	33
1120	1135	992
4249	4313	3905
217	203	204
49	58	53
54	45	39
281	288	209
56	61	42
24	30	31
168	151	114
140	127	152
1953	1766	1532
102	90	97
57	64	64
26	33	28
119	111	120
234	265	234
190	200	169
3	0	1
2	3	0
5	2	3
8	6	7
2	0	1
1	1	3
2	0	1
11	19	16
77	64	67
1	6	11
11	13	20
11	4	8
15	14	9
4	9	12
169	162	173
44	40	38
146	148	155
11	10	8
14	7	10
65	56	50
105	81	87
180	186	180
619	733	667
1073	1033	869
49	46	60
333	260	243
5	15	6
88	81	68
29	24	22
37	39	36
74	66	36
20	15	14
11	6	9
84	91	54
112	105	97
7	6	7
1	3	3
11	10	9
12	6	6
58	37	34
17	8	14
44	50	43
82	58	48
58	58	46
217	158	139
106	108	77
29	37	31
2	4	1
23	14	20
1	0	1
11	7	15
10	11	6
8	9	11
172	166	149
7	16	7
493	493	422
1287	1326	1104
2888	2630	2134
375	421	346
448	401	317
1055	966	831
29	19	27
40	37	32
499	515	446
17	25	12
123	95	59
25	33	24
2	8	14
393	350	353
144	161	129
3	3	4
78	101	81
2488	2837	2631
1	4	2
3	4	1
2	2	2
41	46	43
48	58	38
22	25	14
311	247	204
113	133	134
48	49	41
251	275	195
625	576	465
257	245	208
5	3	3
3	3	6
14	10	12
678	834	826
58	46	43
143	106	93
76	85	76
50	42	43
44	40	34
142	112	95
23	23	22
137	138	114
33	42	44
62	57	50
43	35	42
78	96	60
19	7	14
47	41	36
617	535	501
5	4	3
5	4	8
20	34	23
0	0	0
279	284	250
9	13	9
116	106	123
7	4	10
1	2	1
9	6	8
31	41	27
20	12	18
210	231	198
2	2	1
435	499	523
33838	37573	32908
94	83	90
20	18	20
65	79	62
7	15	12
54	54	44
132	128	107
7	10	3
0	0	0
1	2	3
5	2	0
4	1	3
2	4	3
303	288	208
64	90	80
116	106	92
376	358	312
260	233	194
243	274	186
1051	1077	845
195	195	148
195	206	181
136	120	105
151	161	176
311	328	271
5	5	4
3	3	5
6	8	13
40	48	25
165	179	119
233	199	175
163	156	146
255	250	214
319	406	316
1821	2047	1694
26	20	20
231	220	188
590	528	473
213	207	193
19	19	14
25	26	23
47	56	49
323	360	339
3	4	7
0	0	0
208	196	182
134	148	107
31	15	11
27	23	21
721	741	703
1150	1122	1100
2949	2511	2295
349	369	330
682	699	651
37	40	29
90	81	76
152	150	111
722	737	595
49	45	54
49	68	38
1830	1971	1829
18	13	11
1	1	1
112	88	87
22	17	16
55	70	59
3	5	6
13	22	14
100	108	70
2	3	0
17	17	13
10	9	4
315	278	237
229	238	206
370	355	327
657	683	568
42	38	25
24	19	22
94	76	79
12	9	9
6	4	3
215	203	201
95	68	57
7	4	2
151	183	121
1	2	2
2	5	8
132	126	101
19	12	15
3	2	1
215	216	172
34	37	32
51	69	54
7	4	6
44	54	42
38	52	43
599	517	458
66	88	68
599	517	458
18	10	14
34	36	25
72	68	60
48	59	55
20	22	16
8	7	7
5	6	3
242	251	224
133	113	84
71	45	51
229	226	182
90	78	67
51	60	47
28	50	38
53	53	45
36	38	18
2	0	1
1	0	1
72	45	38
42	26	21
166	125	123
87	79	54
28	30	22
27	19	9
13	11	9
6	4	6
98	105	93
20	18	15
14	15	9
11	11	15
54	29	31
13	11	15
100	74	66
4	3	0
595	627	509
384	338	346
90	98	87
409	337	289
114	160	134
8	11	11
6	0	2
49	59	52
150	159	149
10	12	8
45	47	28
11	14	15
653	536	472
1	5	3
53	45	53
16	12	18
96	99	92
449	382	320
35	51	35
18	26	16
11	11	6
9	5	6
198	174	134
0	0	1
370	322	225
74	46	42
200	236	185
773	754	685
1398	1232	1089
24	30	24
126	132	121
84	84	78
224	175	137
6	4	5
184	186	179
123	106	111
41	57	43
27	22	22
164	143	115
6	1	1
19	16	10
135	128	96
258	207	192
88	77	54
16	19	19
176	141	143
96	78	62
3	8	6
68	87	58
168	139	101
51	47	39
126	127	92
146	145	144
1	1	0
1	1	1
2	3	4
0	2	2
3	5	6
10	7	4
7	5	4
81	73	63
185	155	130
11	23	9
599	569	554
115	122	109
150	133	115
83	71	83
207	209	185
69	94	82
206	171	150
211	172	158
0	0	0
5	4	8
9	9	6
5	5	4
0	0	0
93	85	94
0	0	1
29	38	29
96	85	77
42	52	36
11	14	14
16	16	15
11	8	3
12	12	9
3	4	3
6	5	7
13	4	8
766	801	667
16	14	11
13	19	5
13	14	10
13	9	13
112	101	85
322	239	208
93	73	64
59	67	58
61	42	52
229	208	155
103	102	82
556	501	398
27	27	45
1392	1419	1316
273	326	314
199	227	192
925	890	839
12	14	10
14	11	9
43	51	32
25	24	11
155	164	125
18	15	21
119	108	92
3	5	5
100	104	96
275	271	225
26	26	35
863	772	675
12	7	5
3	7	1
291	232	231
58	65	55
23	16	11
5	1	3
98	99	74
236	198	134
514	448	370
65	68	57
46	32	22
245	214	223
17	18	17
18	26	26
1	0	2
8	8	8
3	4	1
144	133	127
81	93	66
131	160	126
25	13	13
23	19	13
635	587	507
37	28	34
241	225	175
614	559	448
1249	1196	967
18	12	12
609	564	539
103	86	92
28	27	24
64	47	46
11	24	21
29	20	25
11	16	5
29	37	31
2	2	1
790	791	610
70	60	54
463	424	335
157	122	135
417	335	341
433	388	348
475	444	394
26	21	16
4	5	5
279	301	249
613	511	454
1226	1067	907
576	585	462
79	74	80
5	0	2
210	192	152
27	27	25
38	43	35
224	196	172
101	66	48
102	98	59
54	53	48
155	162	117
3	0	1
266	285	244
0	0	0
745	798	740
108	115	113
23	13	7
3	6	2
19	13	9
13	10	9
19	13	9
40	35	30
18	13	9
574	605	504
63	70	48
25	25	13
63	70	48
25	25	13
40	35	30
51	64	50
6	3	7
46	26	29
118	125	99
23	11	17
191	175	164
2610	2696	2539
49	40	49
240	232	237
100	112	69
119	114	138
123	117	109
86	105	67
41	30	26
193	205	188
1295	1235	1024
36	24	30
31	34	30
36	34	26
7	5	5
258	194	175
5	2	2
11	8	7
10	5	7
48	49	38
3	1	3
11	8	11
8	4	8
31	35	15
113	127	107
113	127	107
6	1	2
211	210	182
58	76	66
51	60	54
109	106	106
983	858	776
227	333	289
577	663	608
69	82	72
99	105	83
662	585	456
210	189	181
99	101	105
2	4	3
36	48	45
47	42	28
144	112	90
113	108	89
14	16	20
18	23	16
1433	1551	1259
1	1	4
47	38	46
1	1	2
122	136	90
1	1	2
133	125	125
66	60	56
222	201	185
867	1029	867
13	12	7
422	420	374
6	11	17
884	931	822
17	19	10
48	71	49
297	261	247
51	47	46
298	281	282
902	841	770
31	35	26
49	56	43
10	7	9
15	13	15
135	164	153
5	1	1
2	4	0
3	3	2
476	458	377
250	232	179
1229	1087	918
110	136	93
7	9	9
1035	940	837
181	196	149
13	14	5
29	41	31
308	266	249
14	21	14
6	5	3
10	15	12
35	32	18
1	2	2
0	0	0
102	94	73
572	574	472
77	66	64
866	776	645
72	47	47
143	153	126
173	142	124
5	10	8
28	33	21
83	66	47
78	75	57
6	5	6
4	6	12
159	159	111
3	4	8
4	10	7
2	0	0
389	414	387
695	732	675
343	331	344
135	131	97
55	57	60
9	9	4
101	83	73
26	33	18
496	509	392
4	4	3
13	9	12
341	310	224
69	61	63
157	151	143
2130	2267	1831
3	2	5
5213	5007	4234
379	372	291
159	142	106
91	118	98
143	151	113
161	165	131
39	37	25
327	306	272
72	90	96
261	259	215
6	2	4
52	74	57
9	6	11
16	16	13
315	304	241
122	130	96
34	30	22
1251	1355	1095
37	35	35
17	15	21
585	582	426
0	1	1
60	56	40
69	84	56
544	451	396
2	2	3
2	7	2
705	779	639
392	507	435
268	278	255
0	0	0
165	179	122
378	334	285
91	97	87
34	22	22
137	118	102
64	76	79
66	67	56
129	128	109
236	280	230
285	301	280
155	166	120
386	397	383
49	63	39
15	17	8
83	76	70
38	49	37
2	1	0
1	1	3
27	27	28
132	129	97
431	407	345
6	2	9
28	19	23
876	768	599
124	106	95
9	8	8
4	5	8
51	62	42
105	105	70
535	552	405
112	104	77
861	750	644
207	203	158
36	37	30
