S1	S2	S3
1549	1235	1509
5	2	6
1	0	0
60	56	51
12	7	11
52	35	40
3	2	2
4	8	9
50	33	28
1	0	1
3	7	8
4	2	5
138	164	153
136	125	138
142	127	137
313	264	301
30	23	26
13	9	7
41	47	36
6	2	5
2	2	5
166	125	137
64	31	46
1	0	3
65	43	47
0	0	1
7	4	2
72	51	67
10	7	5
0	0	1
133	97	145
30	18	26
29	28	32
5	5	4
21	28	21
33	19	26
201	137	154
71	46	56
201	137	154
7	3	3
15	9	19
34	37	29
33	25	32
12	5	12
3	1	1
3	0	3
184	154	168
69	46	59
53	39	37
129	108	129
36	27	36
44	26	25
19	12	30
25	42	38
20	11	9
1	0	1
1	0	0
29	12	17
10	5	11
60	34	35
38	37	25
20	11	10
10	5	3
7	5	4
1	2	4
88	70	89
16	4	15
2	6	8
6	4	4
13	6	6
9	10	10
22	25	21
0	2	1
281	285	317
222	143	162
90	82	98
246	163	194
86	64	103
6	4	3
1	0	0
28	22	18
122	117	108
3	4	4
17	21	14
2	8	6
181	135	166
1	1	4
54	37	45
11	8	9
65	42	48
182	149	162
20	21	27
13	8	14
5	9	5
1	0	1
68	53	69
0	1	0
113	86	102
30	36	34
170	154	201
420	371	420
700	475	603
15	16	21
79	65	80
77	59	55
115	66	96
2	2	1
99	117	124
48	35	36
51	41	28
19	14	19
78	52	70
1	0	2
7	1	9
87	78	73
108	73	81
36	24	33
7	8	12
64	58	73
44	20	26
3	2	4
59	32	21
50	38	42
42	38	33
55	53	56
96	51	61
0	1	1
0	1	1
1	1	0
0	0	0
2	0	0
4	0	2
0	0	5
65	40	65
60	49	61
6	10	5
425	380	402
111	65	94
67	47	67
61	58	62
103	91	97
82	54	67
87	61	71
94	65	79
0	0	1
2	2	2
3	1	2
2	1	0
0	0	0
74	62	65
0	0	0
21	29	25
49	57	47
25	21	29
4	2	2
8	1	11
3	1	1
0	2	3
1	1	0
1	0	2
4	4	2
340	328	356
2	4	5
8	2	6
7	6	2
1	4	5
58	49	42
144	103	155
60	58	62
41	47	45
24	31	16
104	69	90
75	59	50
242	207	218
31	33	41
737	666	755
294	246	290
189	180	212
581	428	455
8	4	5
12	4	3
18	16	17
12	8	13
89	62	62
20	15	9
43	40	30
0	4	3
47	46	59
145	114	150
11	13	13
346	279	346
8	3	4
3	3	4
252	205	197
52	37	37
6	6	2
2	0	0
40	31	36
60	73	74
277	261	257
62	56	61
23	19	25
147	105	114
8	11	3
11	11	13
0	0	0
7	3	4
0	3	4
66	74	79
69	57	51
92	96	73
23	11	9
6	8	7
291	227	242
19	22	15
151	169	145
207	173	184
555	429	498
5	3	4
424	327	407
40	41	35
13	13	22
16	10	7
10	14	8
7	13	11
6	5	9
29	13	27
1	0	0
347	277	291
42	33	45
200	158	172
88	52	91
221	164	204
199	168	189
198	158	181
18	8	18
1	1	3
176	171	218
308	272	290
580	440	508
399	338	321
67	54	57
1	2	0
102	99	101
13	7	19
36	34	31
107	80	82
34	33	27
19	21	26
48	16	33
81	52	66
1	1	1
249	205	246
0	0	0
652	554	601
128	89	123
12	7	10
2	1	3
12	4	14
8	5	6
12	4	14
13	7	9
12	4	14
426	375	419
22	23	33
12	8	10
22	23	33
12	8	10
13	7	9
47	24	37
3	0	1
22	12	29
51	50	51
4	3	14
112	104	85
2051	1578	1886
41	30	21
144	94	125
92	61	69
101	75	86
72	68	72
42	24	45
9	6	7
171	111	151
728	578	583
17	11	14
20	21	23
17	11	12
3	0	3
117	69	85
4	0	0
5	4	3
4	2	2
22	13	9
2	6	3
5	1	4
1	0	1
11	9	11
65	45	60
65	45	60
3	0	1
93	94	96
42	43	53
45	30	45
62	49	63
330	318	339
208	191	203
596	464	579
73	53	61
89	71	68
316	225	270
102	75	77
82	77	88
1	2	0
34	30	35
20	14	18
35	32	32
44	33	41
4	1	2
9	16	8
935	726	815
1	2	5
19	15	21
0	1	0
90	89	84
0	1	0
98	76	100
44	42	44
97	80	94
737	552	675
6	3	3
251	171	203
11	7	5
682	627	632
11	5	9
23	16	24
119	99	131
37	19	30
169	161	152
456	366	440
17	12	15
31	21	26
3	4	3
9	2	1
135	129	124
0	0	0
2	1	0
0	0	0
354	372	366
129	122	115
466	326	390
93	68	96
6	5	7
600	487	513
188	128	139
4	3	2
21	24	18
139	117	114
12	5	6
2	2	6
3	3	9
12	5	8
0	1	0
1	0	0
62	46	62
304	243	319
42	31	38
342	357	304
34	33	32
95	103	90
76	67	56
10	12	4
21	14	23
31	30	31
28	36	49
4	4	0
2	2	4
76	78	93
3	2	0
3	2	1
0	0	0
280	196	303
648	517	652
251	234	257
99	97	106
74	52	48
7	7	1
43	34	41
10	12	10
284	228	279
1	3	1
3	7	2
140	99	138
24	17	22
114	91	88
1214	1181	1249
4	2	4
2972	2629	2847
307	232	278
88	87	77
71	44	65
80	65	75
85	80	77
14	20	14
234	214	257
89	68	80
175	181	193
1	1	2
23	20	23
6	5	5
7	14	8
199	155	161
64	60	43
22	15	10
707	534	611
16	15	16
6	5	2
263	224	218
0	0	0
53	34	49
64	59	63
286	204	233
0	1	2
1	2	2
370	332	360
535	446	516
240	156	214
0	0	0
92	78	91
180	141	147
81	53	70
19	21	23
65	56	35
43	51	44
49	36	44
72	58	50
154	131	145
230	175	210
106	77	105
313	281	308
28	20	28
8	6	5
31	16	21
32	23	19
0	1	2
0	0	0
23	28	22
102	66	74
216	179	192
0	3	1
7	11	6
327	312	337
38	48	46
2	2	6
4	2	2
40	40	55
38	47	46
310	262	356
59	44	81
377	281	282
81	87	88
16	21	21
0	0	0
28	28	31
4	1	3
0	0	0
90	81	77
137	92	126
35	39	42
29	22	36
32	35	30
35	42	48
191	133	131
31	35	41
18	30	31
4	5	2
0	0	0
105	77	107
115	81	97
28	15	18
506	415	429
361	251	276
110	73	93
275	231	290
132	96	87
47	27	41
23	21	23
42	35	34
94	49	73
14	11	16
124	79	94
9	10	8
8	17	15
32	20	26
11	6	4
312	219	265
