S1	S2	S3
35	45	29
61	51	46
1244	1144	1208
10	10	10
2	0	1
85	91	81
17	24	9
29	23	21
5	4	5
13	4	8
107	99	95
4	1	3
8	10	14
9	5	7
120	149	112
94	107	89
184	200	190
548	519	466
31	34	33
22	40	18
113	102	76
2	8	5
9	7	7
228	239	252
119	124	104
2	8	5
108	133	93
2	0	2
6	1	2
122	125	117
15	11	15
0	3	2
143	168	121
32	17	24
49	50	49
5	6	7
49	41	40
63	49	76
605	686	551
122	98	126
605	686	551
12	19	15
13	17	15
35	28	28
25	26	37
4	12	11
7	4	6
4	4	7
215	245	218
73	113	82
55	60	63
195	185	184
66	64	55
36	39	29
42	37	40
37	31	36
27	32	38
6	7	4
1	10	2
55	58	33
23	34	27
87	83	75
35	38	31
14	11	5
7	8	5
14	11	7
8	6	5
56	47	55
10	23	8
12	10	5
26	24	24
14	11	12
8	15	16
65	58	50
5	3	1
653	690	579
368	387	357
94	77	88
267	289	270
99	87	74
6	8	4
1	2	0
31	32	38
65	70	69
2	1	0
11	9	9
21	18	18
470	488	422
3	3	8
58	59	47
15	14	9
86	82	66
520	500	468
24	24	30
19	10	8
8	10	4
5	6	3
155	162	161
2	1	0
368	413	279
51	55	41
192	168	166
980	1017	795
1552	1570	1277
36	32	39
125	119	118
69	81	58
157	148	136
5	9	6
135	136	144
75	88	90
57	67	39
24	15	20
174	183	143
5	6	8
9	11	13
127	135	124
228	230	213
75	72	66
24	22	19
147	178	142
85	101	73
3	7	6
63	60	60
115	124	114
26	38	30
58	52	40
113	106	93
0	2	1
4	1	1
1	2	1
0	0	2
1	2	4
5	5	2
6	13	14
69	85	51
135	133	100
16	21	14
679	704	708
132	111	141
139	133	115
51	57	45
131	130	108
41	41	35
155	160	138
159	161	143
0	0	0
5	2	6
13	8	7
3	1	3
0	0	2
86	57	65
0	0	0
58	46	32
84	101	80
38	43	33
11	15	10
7	16	19
1	10	5
4	4	2
1	1	1
0	2	2
6	7	7
567	561	537
5	6	1
1	3	4
10	3	6
3	3	1
73	79	81
230	244	172
73	84	62
65	63	50
20	15	21
79	90	73
92	96	90
495	463	433
50	38	39
1385	1414	1315
383	381	443
272	236	266
740	788	806
10	10	2
6	3	3
18	20	13
11	15	13
57	71	60
7	7	8
36	56	31
0	0	2
23	47	40
247	238	216
26	35	29
769	799	668
23	15	18
1	1	1
156	191	160
30	23	17
6	8	10
3	8	7
193	217	182
327	360	313
412	418	389
54	55	55
51	47	46
309	269	221
15	14	14
8	8	11
1	0	0
1	1	0
3	1	0
201	267	218
178	172	137
246	276	253
20	33	15
18	14	23
612	684	612
19	35	17
224	207	179
477	505	431
1285	1372	1172
14	19	16
540	433	474
80	117	68
16	19	15
20	25	25
10	16	17
21	12	12
5	9	10
32	50	42
1	4	2
829	935	735
79	73	60
435	431	396
64	84	63
177	206	172
367	413	355
294	371	288
16	20	22
6	1	4
316	315	266
365	391	290
724	787	701
425	468	401
60	57	53
1	1	0
130	144	139
16	18	19
17	41	29
179	170	144
37	50	38
64	71	62
79	72	94
185	176	174
2	5	3
136	156	122
0	0	0
395	384	333
53	50	66
9	10	8
5	7	2
18	21	19
10	18	19
18	21	19
41	41	40
18	20	19
553	611	582
41	35	28
11	15	20
41	35	28
11	15	20
42	41	40
23	13	15
10	11	7
30	35	37
104	109	111
15	21	15
163	217	171
2041	1991	1895
52	37	35
252	263	244
70	80	84
87	104	88
71	80	63
84	87	50
16	23	12
83	80	55
889	892	844
13	16	13
65	36	66
31	53	32
5	5	3
181	194	153
6	5	3
5	8	11
8	16	13
30	39	30
5	3	8
8	3	3
4	4	2
13	16	18
82	83	82
82	83	82
7	5	2
220	249	212
41	30	31
47	52	41
133	138	115
902	965	825
252	235	223
570	498	499
90	96	102
153	131	116
610	676	597
154	177	124
51	56	53
2	1	1
76	100	63
35	44	35
118	140	70
90	93	90
10	12	18
11	10	6
164	150	155
0	0	2
5	15	5
3	1	5
115	125	131
3	1	5
131	159	109
63	62	61
186	188	157
559	584	496
6	6	5
337	372	312
10	7	1
582	571	514
5	4	6
24	20	22
126	138	97
23	18	28
569	601	522
1608	1715	1446
59	46	69
54	33	40
10	6	15
14	8	19
139	153	139
7	6	9
10	8	8
1	3	4
484	524	529
256	273	231
1267	1325	1077
45	59	52
9	10	6
942	908	846
189	173	181
4	15	7
24	24	28
184	175	143
12	10	12
1	7	3
12	11	10
18	18	23
4	4	4
3	1	0
57	67	68
344	358	345
28	26	29
435	476	365
28	37	28
121	141	135
45	47	45
6	4	1
30	26	31
43	51	40
38	41	35
6	3	3
6	9	8
106	107	73
9	5	2
4	2	6
1	1	1
254	280	206
455	452	412
215	232	236
95	81	75
57	41	50
5	4	12
57	56	45
19	20	9
425	422	361
3	5	2
4	9	6
261	296	252
52	71	49
155	139	145
1783	1856	1708
1	0	5
4453	4374	3882
342	332	314
142	148	149
86	94	117
139	139	115
156	156	150
40	27	34
87	75	69
28	14	17
76	60	56
6	6	3
45	57	42
20	16	11
12	15	8
454	436	400
98	109	101
26	20	20
1483	1461	1241
16	13	12
13	17	15
572	581	484
3	3	0
62	45	64
82	81	80
308	338	287
10	18	15
16	17	17
716	702	664
448	374	454
195	146	163
0	0	2
63	70	63
160	165	142
45	38	36
51	59	69
224	223	184
52	49	26
41	42	32
53	56	44
191	240	199
129	112	142
77	81	85
240	232	222
30	47	34
15	14	9
49	65	52
28	23	27
3	7	4
1	0	0
21	23	33
78	78	63
181	232	177
6	9	5
10	10	6
834	797	724
24	26	31
7	5	7
8	9	12
40	30	33
19	38	20
550	575	535
108	93	94
757	814	697
193	213	187
18	26	27
0	0	0
54	82	55
7	13	9
9	14	4
252	251	200
268	305	266
92	84	102
96	129	118
80	79	98
31	29	31
162	180	138
65	65	49
40	38	41
5	9	2
0	0	1
176	203	149
172	152	173
43	41	24
969	962	959
692	688	649
197	190	153
759	769	712
384	415	332
82	90	66
27	32	28
83	99	77
96	98	80
26	32	29
109	100	96
36	58	36
36	44	37
24	32	36
30	25	23
340	343	317
0	0	1
1	2	0
2	2	0
3	3	3
0	1	1
3	14	8
1	4	0
3	0	2
5	5	3
26	18	18
57	45	45
152	158	153
142	129	127
11	7	10
1	0	1
1	1	0
2	2	1
0	6	3
65	78	56
0	1	0
143	199	140
468	437	406
14	18	18
34	19	24
237	251	187
57	34	48
156	127	124
6	4	3
1	3	3
27	32	25
323	328	285
37	19	34
9	8	5
46	25	25
7	12	4
15	13	7
7	7	12
17	20	17
29	40	31
9	21	9
13	15	11
1342	1417	1180
301	321	287
25	32	27
7	9	7
10	19	12
49	60	61
100	87	74
1	2	0
3	6	1
16	18	18
9	10	14
30	34	30
2	0	1
3	3	6
2196	2269	1796
397	411	376
532	536	440
1323	1359	1279
19	19	14
277	321	264
3732	3773	3141
172	148	134
73	70	53
113	100	115
60	39	51
79	94	90
160	176	145
13	22	19
64	84	51
112	139	105
99	85	80
10	13	4
1	0	1
16	9	10
15	18	15
69	87	60
24	27	24
52	69	67
60	68	46
46	43	44
68	78	66
25	31	20
117	101	101
109	111	96
27	31	20
91	118	91
30	28	36
85	93	100
112	101	77
15	21	14
19	20	20
22	15	11
55	62	46
139	120	142
100	124	91
70	66	67
53	41	44
3	3	0
197	169	155
430	431	417
14	17	19
35	29	22
16	27	22
32	34	25
74	59	77
12	16	11
884	795	779
682	761	661
8	12	12
0	1	2
5	6	6
5	1	2
22	19	14
0	0	3
3	2	5
15	15	7
14	21	13
10	18	8
175	170	144
118	145	112
232	226	180
3	0	1
78	73	71
41	35	34
130	149	138
48	56	55
7	13	5
37	26	44
282	313	306
227	247	237
291	259	229
16	18	28
30	25	30
32	39	41
7	13	5
39	26	45
791	770	877
31	46	27
96	118	87
15	13	15
79	71	91
1	0	0
6	10	7
8	16	10
5	5	8
1	3	2
18	23	18
8	6	7
72	89	56
107	122	104
5	8	3
4	2	2
1	3	3
10	17	12
3	11	12
21	25	28
9	11	10
7	10	5
7	5	6
166	187	158
1	3	3
1	4	4
223	202	198
133	173	152
238	213	219
126	160	140
8	7	8
6	9	7
92	99	73
42	25	30
14	18	16
14	13	19
26	19	30
1	4	1
14	23	25
73	88	56
271	320	257
268	249	222
356	370	311
35	26	28
60	46	34
2	3	3
300	284	246
79	75	73
45	65	70
70	81	59
3	4	0
15	20	9
20	28	21
15	4	8
173	163	154
318	314	252
8	11	13
59	68	52
69	92	79
59	64	53
233	250	211
43	44	35
13	19	13
9	6	12
8	7	3
4	2	2
35	53	41
12	14	17
64	76	67
61	67	66
7	11	10
13	19	25
3	4	4
1	1	3
0	0	1
0	1	0
142	186	119
4	17	12
1	0	0
6	7	3
1	4	2
32	32	29
65	53	60
11	9	15
14	21	20
92	114	106
396	422	369
95	109	103
165	159	157
294	307	262
25	16	21
75	94	85
323	312	343
10	6	8
604	647	536
262	272	236
10	10	10
18	30	16
2	6	2
2	2	0
1	2	2
1	0	1
8	13	9
14	17	21
19	13	12
40	57	44
64	64	70
9	5	4
2	2	3
0	2	1
4	5	5
8	6	11
22	23	16
1159	1101	1056
163	186	168
5	7	7
289	306	258
365	385	322
9	5	7
44	46	37
87	102	73
518	498	471
0	0	0
78	62	70
20	31	14
8	12	12
17	15	5
4	2	5
42	56	50
2	2	0
136	134	125
189	188	169
330	350	330
441	399	391
5	7	11
24	17	22
18	13	15
1	0	0
4	4	1
8	11	4
2	5	5
4	3	1
1	3	2
0	0	0
2	0	0
0	0	0
1298	1274	1069
13	16	17
0	1	0
13	15	17
9	11	3
2	1	2
104	138	90
75	70	60
130	148	131
71	87	78
57	62	50
248	244	202
1498	1529	1280
19	26	22
33	31	18
34	38	34
18	9	22
17	33	17
54	41	41
5	4	2
1	4	4
1	5	2
5	4	2
1	4	3
13	17	18
1	4	2
3	3	3
3	4	0
2	2	0
14	13	14
7	4	5
10	11	14
49	63	42
16	25	11
42	45	33
17	17	11
16	6	14
21	19	21
22	36	22
38	34	28
59	49	44
74	51	59
50	35	50
6	2	7
6	8	6
12	5	6
13	23	15
0	0	1
126	150	123
48	47	33
5	5	6
18	22	11
8	10	9
0	3	0
35	33	24
10	5	3
10	4	2
19	12	8
1	1	0
39	46	35
126	136	112
6	5	4
138	160	114
6	7	5
37	40	29
28	23	20
78	105	81
34	57	34
2	5	5
1	8	3
21	30	22
7	5	5
9	11	9
230	212	176
4	5	4
8	7	7
47	44	46
37	39	40
12	14	20
45	39	35
9	9	5
13	14	9
10	14	10
10	7	11
6	12	8
1	8	1
579	592	517
278	291	230
12	12	10
151	125	122
1102	1146	1061
262	288	280
1169	1196	1078
356	359	331
61	86	81
1	4	0
22	15	20
2	3	1
394	366	352
3	1	2
233	205	200
4	5	8
102	117	103
84	92	66
239	280	226
320	265	275
283	286	275
262	233	208
467	451	409
5	8	2
205	208	197
320	302	299
75	71	65
41	40	54
124	135	116
8	8	1
19	23	18
19	14	11
630	567	474
4	0	2
9	4	3
31	27	26
1	0	3
127	136	129
630	567	474
8	3	4
13	19	14
2	0	4
11	11	10
82	96	74
38	46	36
15	12	13
588	529	477
6	8	10
119	121	97
5	6	2
125	124	103
83	87	93
